,Região,Médicos,%,População,%,Razão
0,Brasil,451.777,"100,0",207.660.929,"100,0","2,18"
1,Região Norte,20.884,"4,6",17.936.201,"8,6","1,16"
2,Rondônia,2.7439999999999998,"0,6",1.805.788,"0,9","1,52"
3,Acre,966.0,"0,2",829.619,"0,4","1,16"
4,Amazonas,4.843999999999999,"1,1",4.063.614,"2,0","1,19"
5,Roraima,816.0,"0,2",522.636,"0,3","1,56"
6,Pará,8.09,"1,8",8.366.628,"3,9","0,97"
7,Amapá,841.0,"0,2",797.722,"0,4","1,05"
8,Tocantins,2.583,"0,6",1.550.194,"0,7","1,67"
9,Região Nordeste,80.623,"17,8",57.254.159,"27,6","1,41"
10,Maranhão,6.096,"1,3",7.000.229,"3,4","0,87"
11,Piauí,3.86,"0,9",3.219.257,"1,6","1,20"
12,Ceará,12.652000000000001,"2,8",9.020.460,"4,3","1,40"
13,Rio Grande do Norte,5.792000000000001,"1,3",3.507.003,"1,7","1,65"
14,Paraíba,6.752999999999999,"1,5",4.025.558,"1,9","1,68"
15,Pernambuco,16.381,"3,6",9.473.266,"4,6","1,73"
16,Alagoas,4.575,"1,0",3.375.823,"1,6","1,36"
17,Sergipe,3.806,"0,8",2.288.116,"1,1","1,66"
18,Bahia,20.708000000000002,"4,6",15.344.447,"7,4","1,35"
19,Região Sudeste,24.4304,"54,1",86.949.714,"41,9","2,81"
20,Minas Gerais,48.606,"10,8",21.119.536,"10,2","2,30"
21,Espírito Santo,9.645,"2,2",4.016.356,"1,9","2,40"
22,Rio de Janeiro,59.36600000000001,"13,1",16.718.956,"8,1","3,55"
23,São Paulo,126.68700000000001,"28,0",45.094.866,"21,7","2,81"
24,Região Sul,68.43,"15,2",29.644.948,"14,3","2,31"
25,Paraná,23.660999999999998,"5,2",11.320.892,"5,4","2,09"
26,Santa Catarina,15.838,"3,5",7.001.161,"3,4","2,26"
27,Rio Grande do Sul,28.930999999999997,"6,5",11.322.895,"5,5","2,56"
28,Região Centro-Oeste,37.536,"8,3",15.875.907,"7,6","2,36"
29,Mato Grosso do Sul,5.525,"1,2",2.713.147,"1,2","2,04"
30,Mato Grosso,5.436,"1,2",3.344.544,"1,6","1,63"
31,Goiás,13.36,"3,0",6.778.772,"3,3","1,97"
32,Distrito Federal,13.215,"2,9",3.039.444,"1,5","4,35"
